year,1,2,3,4,5,6,7,8,9,10,11,12
2004,0.18,0.19,0.16,0.07,0.09,0.14,0.22,0.17,0.16,0.18,0.21,0.14
2005,0.07,0.10,0.17,0.25,0.28,0.34,0.38,0.35,0.28,0.21,0.17,0.12
2006,0.04,0.00,0.04,0.14,0.16,0.11,0.10,0.17,0.26,0.25,0.20,0.20
2007,0.30,0.36,0.37,0.30,0.22,0.16,0.13,0.12,0.12,0.09,0.11,0.06
2008,0.06,-0.01,-0.02,-0.02,-0.01,-0.06,-0.08,-0.06,-0.01,-0.05,-0.12,-0.14
2009,-0.14,-0.12,-0.09,-0.03,0.08,0.15,0.22,0.29,0.38,0.41,0.42,0.29
2010,0.22,0.15,0.20,0.31,0.39,0.40,0.36,0.27,0.20,0.10,-0.01,-0.13
2011,-0.20,-0.13,0.02,0.12,0.21,0.16,0.18,0.16,0.11,0.04,0.02,0.05
2012,0.12,0.13,0.13,0.15,0.20,0.24,0.24,0.28,0.33,0.34,0.35,0.31
2013,0.36,0.30,0.21,0.08,0.01,-0.03,-0.03,-0.03,0.18,0.29,0.32,0.20
2014,0.16,0.19,0.23,0.18,0.10,0.13,0.21,0.30,0.34,0.35,0.35,0.36
2015,0.40,0.43,0.41,0.40,0.32,0.28,0.28,0.43,0.52,0.58,0.55,0.57
2016,0.53,0.55,0.55,0.62,0.63,0.67,0.60,0.55,0.52,0.51,0.47,0.45
2017,0.46,0.45,0.42,0.33,0.27,0.27,0.32,0.35,0.34,0.34,0.43,0.47
2018,0.44,0.41,0.39,0.31,0.21,0.09,0.07,0.12,0.16,0.18,0.19,0.23
2019,0.30,0.36,0.35,0.27,0.26,0.31,0.39,0.38,0.34,0.35,0.37,0.41
2020,0.43,0.43,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
